时间	 控制状态	 经度	 纬度	 高斯X	 高斯Y	 速度（Km/h）	 
12:57:17.423	 人工模式	 87.19536460	 42.19079828	 268239	 -104118	 0	 
12:57:17.923	 人工模式	 87.19536461	 42.19079829	 268239	 -104118	 0	 
12:57:18.423	 人工模式	 87.19536461	 42.19079829	 268239	 -104118	 0	 
12:57:18.923	 人工模式	 87.19536461	 42.19079828	 268239	 -104118	 0	 
12:57:19.423	 人工模式	 87.19536462	 42.19079827	 268239	 -104118	 0	 
12:57:19.962	 人工模式	 87.19536462	 42.19079827	 268239	 -104118	 0	 
12:57:20.523	 人工模式	 87.19536462	 42.19079826	 268239	 -104118	 0	 
12:57:26.024	 人工模式	 87.19536461	 42.19079828	 268239	 -104118	 0	 
12:57:26.524	 人工模式	 87.19536460	 42.19079829	 268239	 -104118	 0	 
12:57:27.025	 人工模式	 87.19536459	 42.19079829	 268239	 -104118	 0	 
12:57:27.525	 人工模式	 87.19536458	 42.19079829	 268238	 -104118	 0	 
12:57:28.091	 人工模式	 87.19536458	 42.19079828	 268238	 -104118	 0	 
12:57:28.592	 人工模式	 87.19536457	 42.19079828	 268238	 -104118	 0	 
12:57:29.127	 人工模式	 87.19536458	 42.19079827	 268238	 -104118	 0	 
